Tournament,Date,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score,y,year,rank_diff,pts_diff,odd_diff,h2h_advantage,last_winner,surface_winrate_adv
ASB Classic,2020-01-07,Outdoor,Hard,1st Round,3,Mchale C.,Li A.,Mchale C.,86,145,720,414,2.37,1.53,7-5 6-2 ,1,2020,59,306,-0.8400000000000001,0,,0.0
Brisbane International,2020-01-07,Outdoor,Hard,1st Round,3,Kontaveit A.,Hsieh S.W.,Kontaveit A.,26,33,1575,1450,1.66,2.1,6-4 6-1 ,1,2020,7,125,0.44000000000000017,0,,0.0
Brisbane International,2020-01-07,Outdoor,Hard,1st Round,3,Kvitova P.,Pavlyuchenkova A.,Kvitova P.,7,29,4721,1531,1.4,2.75,2-6 6-1 6-0,1,2020,22,3190,1.35,0,,0.0
Brisbane International,2020-01-07,Outdoor,Hard,1st Round,3,Putintseva Y.,Vekic D.,Putintseva Y.,32,20,1460,2080,2.37,1.53,6-3 3-6 7-5,1,2020,-12,-620,-0.8400000000000001,0,,0.0
Brisbane International,2020-01-07,Outdoor,Hard,1st Round,3,Stephens S.,Samsonova L.,Samsonova L.,24,129,1737,475,1.61,2.2,4-6 6-2 3-6,0,2020,105,1262,0.5900000000000001,0,,0.0
Brisbane International,2020-01-07,Outdoor,Hard,1st Round,3,Keys M.,Bouzkova M.,Keys M.,13,60,2767,967,1.4,2.75,6-3 6-2 ,1,2020,47,1800,1.35,0,,0.0
ASB Classic,2020-01-07,Outdoor,Hard,1st Round,3,Hourigan P.M.,Wozniacki C.,Wozniacki C.,447,39,92,1353,15.0,1.03,1-6 0-6 ,0,2020,-408,-1261,-13.97,0,,0.0
ASB Classic,2020-01-07,Outdoor,Hard,1st Round,3,Davis L.,Lepchenko V.,Davis L.,63,170,874,354,1.57,2.25,7-6 6-2 ,1,2020,107,520,0.6799999999999999,0,,0.0
ASB Classic,2020-01-07,Outdoor,Hard,1st Round,3,Minnen G.,Goerges J.,Goerges J.,109,41,599,1331,2.25,1.57,1-6 6-7 ,0,2020,-68,-732,-0.6799999999999999,0,,0.0
Shenzhen Open,2020-01-07,Outdoor,Hard,2nd Round,3,Rybakina E.,Wang Yaf.,Rybakina E.,36,50,1401,1105,1.83,1.83,6-3 6-4 ,1,2020,14,296,0.0,0,,0.0
Brisbane International,2020-01-07,Outdoor,Hard,1st Round,3,Sakkari M.,Osaka N.,Osaka N.,23,4,1820,5311,3.5,1.28,2-6 7-6 3-6,0,2020,-19,-3491,-2.2199999999999998,0,,0.0
Shenzhen Open,2020-01-07,Outdoor,Hard,2nd Round,3,Wang Xiy.,Mertens E.,Mertens E.,140,17,430,2290,4.5,1.18,4-6 3-6 ,0,2020,-123,-1860,-3.3200000000000003,0,,0.0
Shenzhen Open,2020-01-08,Outdoor,Hard,2nd Round,3,Wang Q.,Sasnovich A.,Wang Q.,28,69,1563,853,1.57,2.25,6-4 0-6 7-6,1,2020,41,710,0.6799999999999999,0,,0.0
Shenzhen Open,2020-01-08,Outdoor,Hard,2nd Round,3,Peng S.,Alexandrova E.,Alexandrova E.,108,34,613,1425,2.62,1.44,6-7 1-6 ,0,2020,-74,-812,-1.1800000000000002,0,,0.0
Shenzhen Open,2020-01-08,Outdoor,Hard,2nd Round,3,Muguruza G.,Rogers S.,Muguruza G.,35,174,1412,351,1.4,2.75,6-1 7-6 ,1,2020,139,1061,1.35,0,,0.0
Shenzhen Open,2020-01-08,Outdoor,Hard,2nd Round,3,Blinkova A.,Diyas Z.,Diyas Z.,58,75,1007,775,1.8,1.9,1-6 7-6 4-6,0,2020,17,232,0.09999999999999987,0,,0.0
ASB Classic,2020-01-08,Outdoor,Hard,2nd Round,3,Zidansek T.,Pegula J.,Pegula J.,64,82,870,743,2.37,1.53,2-6 3-6 ,0,2020,18,127,-0.8400000000000001,0,,0.0
ASB Classic,2020-01-08,Outdoor,Hard,2nd Round,3,Cornet A.,Martic P.,Cornet A.,57,15,1015,2617,2.75,1.4,3-6 6-4 6-4,1,2020,-42,-1602,-1.35,0,,0.0
Brisbane International,2020-01-08,Outdoor,Hard,2nd Round,3,Keys M.,Stosur S.,Keys M.,13,98,2767,683,1.22,4.0,7-5 6-3 ,1,2020,85,2084,2.7800000000000002,0,,0.0
Brisbane International,2020-01-08,Outdoor,Hard,2nd Round,3,Putintseva Y.,Collins D.,Collins D.,32,27,1460,1566,1.8,1.9,1-6 0-6 ,0,2020,-5,-106,0.09999999999999987,0,,0.0
Brisbane International,2020-01-08,Outdoor,Hard,2nd Round,3,Riske A.,Strycova B.,Riske A.,19,31,2085,1462,1.5,2.5,6-3 6-4 ,1,2020,12,623,1.0,0,,0.0
ASB Classic,2020-01-08,Outdoor,Hard,2nd Round,3,Kasatkina D.,Anisimova A.,Anisimova A.,70,25,851,1734,2.75,1.4,2-6 4-6 ,0,2020,-45,-883,-1.35,0,,0.0
ASB Classic,2020-01-08,Outdoor,Hard,2nd Round,3,Bouchard E.,Garcia C.,Bouchard E.,262,46,223,1235,2.5,1.5,6-4 6-4 ,1,2020,-216,-1012,-1.0,0,,0.0
Shenzhen Open,2020-01-09,Outdoor,Hard,Quarterfinals,3,Diyas Z.,Muguruza G.,Muguruza G.,75,35,775,1412,2.75,1.44,4-6 6-2 4-6,0,2020,-40,-637,-1.31,0,,0.0
Shenzhen Open,2020-01-09,Outdoor,Hard,Quarterfinals,3,Alexandrova E.,Wang Q.,Alexandrova E.,34,28,1425,1563,1.66,2.2,3-6 6-4 6-3,1,2020,-6,-138,0.5400000000000003,0,,0.0
Shenzhen Open,2020-01-09,Outdoor,Hard,Quarterfinals,3,Mertens E.,Rybakina E.,Rybakina E.,17,36,2290,1401,1.44,2.75,4-6 6-4 2-6,0,2020,19,889,1.31,0,,0.0
Shenzhen Open,2020-01-09,Outdoor,Hard,Quarterfinals,3,Pliskova Kr.,Bondarenko K.,Pliskova Kr.,66,1168,858,6,1.66,2.2,6-4 6-4 ,1,2020,1102,852,0.5400000000000003,0,,0.0
Brisbane International,2020-01-09,Outdoor,Hard,2nd Round,3,Pliskova Ka.,Tomljanovic A.,Pliskova Ka.,2,54,5525,1045,1.22,4.0,6-4 6-7 6-1,1,2020,52,4480,2.7800000000000002,0,,0.0
Brisbane International,2020-01-09,Outdoor,Hard,2nd Round,3,Samsonova L.,Kvitova P.,Kvitova P.,129,7,475,4721,5.0,1.16,3-6 2-6 ,0,2020,-122,-4246,-3.84,0,,0.0
